zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
10303,27,357,13.2,3.4,3.2,Fast Food,4,Pizza,4,Chinese,3,248315,208335,75336,53.8,19041,1751,2182,7351,3594,2284,1024,855,7014,8397,4650,2005,3699,2875,12.7,,,705,0.02,1443,5951
10304,27,520,19.3,3.8,3.9,American (New),5,Pizza,4,Spanish,3,517689,391016,75984,55.3,32903,2679,3435,10816,6228,4730,2392,2623,11974,13235,6361,3961,5286,6166,13.1,,,"1,219",0.02,1705,5779
10305,69,1911,27.7,3.7,3.7,Italian,16,Pizza,10,Chinese,8,381618,311056,87716,52.2,33721,1698,2921,11393,6288,5448,3186,2787,12950,13100,6695,2933,5691,7810,11.5,,,489,0.06,1217,7637
10306,44,1123,25.5,3.8,3.8,Italian,11,Pizza,7,American (Traditional),4,429311,386361,99688,55.7,45085,2701,3196,14780,8754,6793,4634,4227,15842,17681,8530,2018,9681,10098,10.9,,,"1,025",0.02,1768,9134
10307,27,223,8.3,3.6,3.7,Italian,9,Pizza,5,0,2,540881,426123,113660,58.7,11020,818,929,3791,2580,1393,1013,496,4355,4338,2210,401,2436,2717,10.6,,,408,0.02,1328,10740
10308,44,727,16.5,3.5,3.6,Italian,15,Pizza,11,Chinese,5,392959,350223,105486,55.5,23415,1605,1742,7022,4836,3850,2569,1791,8213,9237,5312,939,4295,5162,11.6,,,532,0.03,1419,9075
10309,48,825,17.2,3.6,3.6,Pizza,8,American (New),7,Italian,7,531587,420169,107387,57.4,24981,1327,1978,9572,4897,3907,2255,1045,10610,9744,5771,1300,5643,5662,11.6,,,520,0.03,1452,9238
10310,44,742,16.9,3.6,3.6,Italian,7,Pizza,7,Delis,5,347135,298793,86572,55.8,18748,1834,1533,6609,3864,2568,1225,1115,7152,7422,3721,1521,3728,4071,13.3,,,426,0.04,1109,6509
10312,36,583,16.2,3.6,3.7,Pizza,10,Italian,7,American (New),4,438917,381721,101855,57.8,49320,3195,3873,16129,9498,9137,4805,2683,18868,19769,10967,1856,10133,11808,11.6,,,"1,370",0.01,3044,8789
10314,72,2102,29.2,3.4,3.6,Pizza,16,Italian,10,American (Traditional),7,384894,328953,93990,55.6,71209,4713,4935,22722,13161,12400,7162,6116,25747,27471,15272,3509,13000,16502,11.7,,,989,0.03,2439,8020
10451,49,652,13.3,3.4,3.8,American (Traditional),9,Pizza,8,Latin American,5,642567,263319,41049,47.9,34545,2890,4171,12528,5795,4192,2856,2113,11470,15216,5972,7548,5506,3489,10.6,,,705,0.02,2597,3861
10452,28,154,5.5,3.6,3.4,American (New),4,Burgers,3,Restaurants,3,1496220,151264,39803,51.9,54172,5136,5665,22356,9508,6723,3099,1685,20860,23392,11006,13432,10192,3957,11.9,,,"1,935",0.00,9849,3355
10453,26,103,4,3.6,3.8,Mexican,4,Latin American,4,Burgers,3,2252628,172923,39541,52.3,58578,5996,6869,22219,11435,7150,3187,1722,21797,25876,11550,14002,10466,4786,11.7,,,"2,253",0.00,14645,3387
10454,32,323,10.1,4.1,3.6,Chinese,5,Restaurants,4,Mexican,4,614774,141100,39082,44.5,28057,3218,3677,10220,4480,3012,1979,1471,10438,10951,5003,7174,3947,1588,12.1,,,877,0.01,2778,3221
10455,56,296,5.3,3.8,3.7,Mexican,15,Pizza,6,Fast Food,5,937341,121534,38806,45.1,26767,2216,3009,11104,4240,2791,2137,1270,9405,11739,5094,7561,3766,1714,11.4,,,478,0.01,5050,3395
10456,32,129,4,3.5,3.4,Restaurants,4,Chinese,4,Pizza,4,1151451,126826,39166,46.1,65814,6468,7459,25396,11575,7799,4350,2767,23382,28847,11429,17064,11578,4699,12.6,,,"2,057",0.00,16454,3106
10457,20,79,4,3.4,3.7,Burgers,3,Latin American,3,Diners,3,758323,116868,40912,46.4,50631,5765,6556,18906,9159,4969,3251,2025,17597,21993,8865,11859,8162,4148,10.4,,,"2,532",0.00,12658,3931
10458,116,2453,21.1,3.9,3.8,Italian,23,Pizza,18,Chinese,12,1117261,144591,43945,49.5,56368,6020,7972,21978,9312,6004,3270,1812,21942,23324,10395,12921,9182,4796,11.5,,,486,0.04,2671,3808
10459,29,67,2.3,3.6,3.4,Pizza,7,Chinese,5,Restaurants,4,890041,133951,40561,46.3,32904,3780,3827,12651,5197,3533,2270,1646,10929,14279,5189,8495,5186,2511,11.7,,,"1,135",0.00,14306,3456
10460,26,137,5.3,3.5,3.5,Burgers,5,Spanish,5,Fast Food,4,792713,131337,40470,48.7,41064,4614,4909,14836,7355,4872,2531,1947,14365,17607,7668,9768,6413,3214,9.7,,,"1,579",0.00,7748,4157
10461,93,1917,20.6,3.7,3.6,Pizza,17,Chinese,12,Italian,12,398917,240597,70465,55.5,42216,2354,3075,15566,7440,5714,3647,4420,16056,15739,7668,4639,8181,8232,11.0,,,454,0.05,2049,6405
10462,109,1631,15,3.8,3.6,Pizza,22,Mexican,12,Chinese,11,393297,131553,58813,56.8,59226,3854,4785,24382,9959,7898,4636,3712,21815,25209,10741,8445,12080,10973,11.0,,,543,0.03,3948,5352
10465,37,762,20.6,3.7,3.9,Pizza,9,Italian,7,American (Traditional),3,416011,330244,83904,54.4,35884,2388,3365,11313,5963,5492,3519,3844,13039,13094,6490,2718,7012,6548,11.6,,,970,0.02,1742,7261
10466,25,126,5,4.1,4.2,Caribbean,7,Pizza,5,Chinese,3,492516,195289,59625,55.7,55257,4637,5765,18616,10038,8179,4896,3126,18370,24228,10887,7199,10595,8152,12.5,,,"2,210",0.00,11051,4755
10467,32,328,10.3,3.7,3.9,Pizza,7,Chinese,6,Mexican,4,682760,151767,52065,54,73216,5716,7114,29513,12437,8659,5354,4423,25972,31751,14231,12218,13530,10630,11.6,,,"2,288",0.00,7108,4504
10468,58,603,10.4,3.5,3.4,Mexican,11,Pizza,9,Restaurants,8,1021367,139961,46206,54.7,56168,4661,6969,21516,10231,6587,3217,2987,20787,24516,11231,10601,9643,6859,11.4,,,968,0.01,5401,4045
