zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations
11102,44,6537,148.6,3.7,3.8,Pizza,6,Italian,5,Breakfast & Brunch,4,848424.4929,327641.454,69286,63.5,29102,1492,3347,14215,4125,2563,1906,1454,12608,11642,3941,3397,4139,9426,11.35555556
11103,106,14179,133.8,3.8,3.8,American (New),13,Mexican,13,Pizza,11,782265.9941,321678.4775,73601,66.9,32387,931,2877,16023,4627,3260,2626,2043,13892,12895,4735,2964,4971,11240,11.46298789
11104,99,6007,60.7,3.7,3.5,Pizza,12,Mexican,10,Chinese,8,662818.4599,314082.2852,69145,65.5,22952,683,1643,10890,3611,2936,2082,1107,9524,9556,4279,2408,3867,6883,12.40180587
11105,100,9782,97.8,3.9,3.9,Greek,22,Pizza,16,Italian,15,634672.0598,359157.8236,75957,64.1,32604,1168,2796,15534,4348,3937,2419,2402,13045,13570,4538,2560,5507,11214,11.32181425
11106,79,11241,142.3,3.9,3.9,Italian,10,Pizza,9,Bars,8,"617,368.28",351473.9888,71228,61.9,32149,1607,2999,14140,4758,3692,2532,2421,12283,13306,4535,3336,5151,9568,11.52445194
11109,2,407,203.5,3.5,4.3,Sushi Bars,1,Burgers,1,Food Trucks,1,830910.419,1140989.33,167364,83.2,2937,40,149,2344,134,158,63,49,1499,1286,91,11,297,2237,10.66666667
11201,117,20967,179.2,3.9,3.8,Italian,21,American (New),19,Pizza,14,1089991.454,1128477.177,157141,64.7,45327,2227,3407,22752,5762,5346,3128,2705,18615,18652,3007,1602,4195,25056,11.44341801
11203,50,664,13.3,3.4,3.6,Caribbean,14,Restaurants,9,American (New),5,467186.79,201831.0997,64686,55.3,64482,4100,5986,21410,11031,9960,7067,4928,21260,27127,14271,4948,13611,9571,11.88190476
11204,68,1581,23.3,3.5,3.7,Chinese,21,Pizza,12,Japanese,7,"660,800.93",387615.8481,65759,52.6,61752,4680,6208,21871,10201,9177,4588,5027,23966,23491,12809,9517,8517,10406,12.13318284
11205,50,6323,126.5,3.7,3.8,American (New),10,Coffee & Tea,7,Breakfast & Brunch,5,714161.3283,509843.2581,79705,55.5,30678,2301,4596,14658,3120,3124,1597,1282,12409,13089,4329,3610,4053,8910,12.48154982
11206,56,4382,78.3,4,4.1,Mexican,13,Bars,9,American (New),8,"660,410.72",299919.5062,48686,51,59038,5176,7581,24774,8221,6200,4129,2957,21478,25298,10481,11635,8752,8327,11.56344086
11207,23,279,12.1,3.3,3.9,Pizza,4,Spanish,3,Breakfast & Brunch,3,344096.5536,159856.7226,50010,49,68460,6848,8599,25056,11432,8188,5131,3206,22529,30746,14794,12147,11665,6070,11.66734694
11208,32,291,9.1,3.6,3.8,Latin American,8,Pizza,7,Caribbean,3,"321,597.80",153141.8343,55563,49.9,69224,6886,8385,26473,12545,8047,4139,2749,24714,30736,21504,10009,9931,5621,12.56590909
11209,204,10473,51.3,3.7,3.6,Pizza,23,Chinese,21,Italian,19,"548,985.96",518331.0232,88562,57,59478,2936,4076,23553,10221,8309,5024,5359,22482,23677,8160,4469,8668,20786,11.0807771
11210,58,494,8.5,3.5,3.6,Chinese,10,Caribbean,9,Kosher,8,597188.4949,472877.1172,76701,57.9,49611,4018,5019,16926,9677,7551,3819,2601,18073,21100,10985,2858,8548,11763,10.62666667
11211,129,27759,215.2,4,4.1,Bars,24,American (New),24,Breakfast & Brunch,19,959940.336,666947.1608,74916,61.3,68952,4585,8494,33978,8301,6466,3271,3857,28033,29206,9374,8410,9334,21627,11.69391026
11212,43,125,2.9,3.5,3.6,Caribbean,8,Restaurants,7,Pizza,5,544777.3556,134776.8217,47299,47.1,61406,5572,6239,21588,10844,8504,5119,3540,18424,28751,15906,8751,11698,4581,11.42485549
11213,27,227,8.4,3.6,3.7,Caribbean,6,Kosher,4,Indian,2,627012.9167,263962.2877,53827,52.3,46499,3763,4812,17075,8465,5589,3714,3081,16091,19850,10010,5094,9131,6894,12.67964072
11214,66,3514,53.2,3.6,3.7,Chinese,12,Japanese,11,Pizza,9,"608,096.07",349636.7065,64275,49.7,67036,2995,4665,23963,10019,9903,8260,7231,23933,24617,12671,12372,8126,10716,12.74126984
11215,169,23656,140,3.8,3.8,Italian,23,American (New),22,Mexican,18,988741.6233,718987.2616,129767,73.3,56258,2072,4379,28682,8416,6898,3242,2569,23494,24881,3545,2453,5602,32396,11.66619116
11216,64,3245,50.7,3.9,4,Caribbean,16,Breakfast & Brunch,7,Coffee & Tea,7,621144.4836,250388.2566,61909,56.9,45187,2604,4570,19587,6735,5898,3448,2345,16817,19973,7856,4656,8297,11411,12.70855148
11217,90,14324,159.2,3.8,3.8,American (New),14,Italian,9,Sandwiches,8,1188470.528,929500.6089,115622,69.3,32655,1033,2264,17194,4852,3475,2189,1648,12833,14952,2755,2561,3516,16689,11.2090708
11218,70,3348,47.8,3.8,3.7,Mexican,14,Pizza,10,American (New),7,515080.1482,420670.6758,72848,59.4,56904,3829,5771,23207,9339,7792,3474,3492,22633,23476,8878,7142,7895,16423,12.21771218
11219,45,881,19.6,3.7,3.8,Chinese,9,Kosher,7,Italian,6,654645.4234,353673.0804,53595,53.5,66061,5221,7453,24913,10348,8855,3334,5937,26480,25089,14588,14135,7185,8208,12.54219949
11220,197,4922,25,3.8,3.7,Chinese,75,Mexican,23,Latin American,11,673611.071,"342,486.01",55896,56.9,78814,5110,7940,33709,12920,9662,4925,4548,33230,31001,11148,26620,7323,11200,13.6547421
11221,46,1655,36,3.8,3.8,Pizza,7,Cafes,5,Latin American,4,473474.1802,184800.9623,57844,51.7,62030,4951,6639,25695,10334,7707,3933,2771,22828,27547,12565,12000,10698,8473,11.48857143
11222,40,5375,134.4,4.1,4.2,American (New),9,Pizza,5,Vegan,4,847546.6066,468435.6945,83432,69.3,30617,846,2900,15923,4298,3793,1403,1454,13706,13208,4057,1724,5397,12836,11.51641791
11223,117,3763,32.2,3.8,3.6,Chinese,15,Russian,12,Italian,12,718651.3628,540863.5373,66288,48.7,60185,3202,4288,19854,9336,9381,8205,5919,20801,22058,11924,9262,7692,9693,11.97243492
11224,26,1685,64.8,3.5,3.3,American (Traditional),7,Pizza,4,Mexican,3,483050.4052,319333.0776,58910,40.9,37843,2450,2722,8432,6195,6368,5988,5688,10571,13146,6041,4402,4957,5595,10.28504673
11225,40,1293,32.3,3.7,4,Caribbean,10,Cafes,6,American (Traditional),4,828662.3691,359105.2045,57419,57,47751,3165,5541,17892,7471,7655,3445,2582,16937,21622,8772,5582,9553,9111,12.35694051
11226,77,2279,29.6,3.6,3.7,Caribbean,17,Chinese,17,Mexican,8,926949.4557,300388.1091,55125,58.6,79179,6072,7987,30839,14462,10615,5899,3305,28495,35408,19156,9649,15253,11858,12.06929348
11228,46,1267,27.5,3.6,3.6,Pizza,11,Italian,8,Sandwiches,7,682583.898,436056.6259,88579,51.7,35870,2190,2880,11979,5812,5455,4055,3499,13469,12657,6798,3809,5053,7586,11.86021505
