Zip,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%)
10467,Bronx Park and Fordham,Bronx,312300,-1,0.095,0.129,0,299000,212600,2741,0.075,199,0.066,0.0228512075,0.0875097377,0.2227992729,0.3508179694,0.1859257336,0.1165930927,0.0135029862,0.0835084034,0.149947479,0.0480567227,0.1137079832,0.2134978992
10468,Bronx Park and Fordham,Bronx,-1,-1,0,0.211,0,138000,0,2513,0.081,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10469,Northeast Bronx,Bronx,355200,356700,0.296,0.175,221,379000,371000,3443,0.033,242,0.034,0.009191699,0.0601724628,0.0321235668,0.2044916138,0.4792949872,0.1737894438,0.0409362267,0.0244601567,0.0494935983,0.0964074145,0.2507166062,0.3331740875
10470,Northeast Bronx,Bronx,-1,-1,0,0.28,0,329000,0,3604,0.036,179,-1,0.023255814,0.0394337715,0.2143579373,0.4251769464,0.1097067745,0.160768453,0.0273003033,0.0158405723,0.0868676546,0.0792028615,0.213592233,0.2866632601
10471,Kingsbridge and Riverdale,Bronx,762500,904500,0.215,0.353,0,278000,214200,6974,0.071,272,0.153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10472,Southeast Bronx,Bronx,-1,-1,0,0.1,0,425000,0,3176,0.044,172,-1,0.007831488,0.0372670807,0.0656224683,0.5927626249,0.1609505806,0.1250337564,0.0105320011,0.0051728832,0.1372175334,0.0465559488,0.0977402668,0.1628096923
10473,Southeast Bronx,Bronx,324400,327900,0.366,0.25,231,325000,405600,2338,0.072,235,0.025,0.0076801891,0.2107128791,0.0472627019,0.2644742024,0.1199291059,0.2069712485,0.1429696731,0.0895752896,0.0291505792,0.2133204633,0.1727799228,0.2635135135
10474,Hunts Point and Mott Haven,Bronx,-1,-1,0.733,0.071,0,475000,0,1715,0.042,0,-1,0.0927318296,0.2155388471,0.335839599,0.328320802,-1,-1,-1,-1,-1,-1,-1,-1
10475,Northeast Bronx,Bronx,-1,-1,0,0.062,0,182000,0,3323,0.081,151,-1,0.2079831933,0.0588235294,0.218487395,0.1722689076,0.1995798319,0.1365546218,0.094017094,0.0811965812,0.1153846154,0.1987179487,0.2136752137,0.297008547
11004,Southeast Queens,Queens,550200,550200,0.122,0.156,457,285900,265500,5030,0.04,368,0.077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
