zip_code, num_restaurants, num_reviews, num_reviews_per_restaurant, avg_total_reviews, avg_restaurant_rating, most_common_cat, num_most_common_cat, 2nd_most_common_cat, num_2nd_most_common_cat, 3rd_most_common_cat, num_3rd_most_common_cat
 11238, 110, 14163, 128.8, 3.8, 3.8, American (New), 19, Mexican, 14, Breakfast & Brunch, 11
 11239, 6, 194, 32.3, 2.8, 2.6, Burgers, 1, Sports Bars, 1, Caribbean, 1
 11354, 141, 12877, 91.3, 3.7, 3.8, Chinese, 50, Korean, 40, Taiwanese, 13
 11355, 143, 6180, 43.2, 3.7, 3.8, Chinese, 68, Korean, 16, Food Stands, 7
 11356, 35, 882, 25.2, 3.6, 3.6, Pizza, 6, Chinese, 4, Delis, 4
 11357, 38, 1503, 39.6, 3.8, 3.7, Italian, 15, Pizza, 7, Delis, 4
 11358, 103, 3867, 37.5, 3.6, 3.7, Korean, 42, Japanese, 13, Pizza, 10
 11360, 18, 805, 44.7, 3.2, 3.3, Burgers, 3, Steakhouses, 3, American (Traditional), 3
 11361, 103, 6446, 62.6, 3.6, 3.5, Korean, 22, Pizza, 11, Chinese, 11
 11362, 54, 1961, 36.3, 3.6, 3.5, Japanese, 8, Chinese, 6, Italian, 6
 11363, 8, 267, 33.4, 3.7, 3.9, Italian, 3, Delis, 2, Barbeque, 1
 11364, 31, 1434, 46.3, 3.6, 3.6, Chinese, 6, Italian, 5, Pizza, 5
 11365, 27, 1322, 49.0, 3.4, 3.2, Chinese, 9, Pizza, 4, Burgers, 3
 11366, 42, 1155, 27.5, 3.5, 3.5, Chinese, 9, Kosher, 8, Pizza, 6
 11367, 47, 1320, 28.1, 3.5, 3.4, Pizza, 9, Kosher, 8, Chinese, 6
 11368, 76, 2505, 33.0, 4.1, 4.0, Latin American, 24, Mexican, 13, Pizza, 8
 11369, 21, 533, 25.4, 3.2, 3.3, Chinese, 4, Burgers, 3, Sandwiches, 3
 11371, 2, 30, 15.0, 3.6, 4.3, Buffets, 1, Pizza, 1, n/a, n/a
 11372, 158, 7387, 46.8, 3.7, 3.8, Latin American, 38, Indian, 18, Mexican, 16
 11373, 122, 7288, 59.7, 3.7, 3.7, Chinese, 26, Thai, 13, Mexican, 11
 11374, 60, 3209, 53.5, 3.5, 3.6, Chinese, 10, American (Traditional), 7, Russian, 5
 11375, 90, 11095, 123.3, 3.6, 3.6, American (New), 12, American (Traditional), 9, Italian, 8
 11377, 44, 5898, 134.0, 3.9, 3.9, Filipino, 7, Mexican, 7, Thai, 7
 11378, 14, 755, 53.9, 4.0, 4.0, Italian, 4, Pizza, 4, Burgers, 2
 11379, 32, 650, 20.3, 3.7, 3.7, Pizza, 7, Chinese, 6, Delis, 5
 11385, 65, 3597, 55.3, 3.7, 3.9, Italian, 8, Pizza, 7, American (Traditional), 6
 11411, 20, 62, 3.1, 3.2, 3.4, Restaurants, 4, Caribbean, 4, Fast Food, 3
 11412, 23, 60, 2.6, 3.3, 3.2, Caribbean, 5, Restaurants, 4, Indian, 2
 11413, 28, 221, 7.9, 3.5, 3.7, Caribbean, 8, Chinese, 5, Fast Food, 3
 11414, 41, 1550, 37.8, 3.6, 3.3, Italian, 9, Pizza, 7, Chinese, 5
 11415, 38, 1425, 37.5, 3.5, 3.4, Pizza, 6, Chinese, 5, Burgers, 4
 11416, 34, 262, 7.7, 3.4, 3.4, Chinese, 8, Pizza, 5, Spanish, 3
 11417, 37, 372, 10.1, 3.6, 3.4, Pizza, 11, Italian, 5, Restaurants, 5
 11418, 48, 615, 12.8, 3.7, 3.5, Delis, 7, Indian, 6, Chinese, 6
 11419, 52, 691, 13.3, 3.5, 3.3, Caribbean, 16, Restaurants, 10, Indian, 9
 11420, 50, 818, 16.4, 3.4, 3.3, Restaurants, 9, Caribbean, 7, Pizza, 7
 11421, 43, 284, 6.6, 3.5, 3.4, Mexican, 6, Pizza, 6, Spanish, 5
 11422, 33, 528, 16.0, 3.2, 3.5, Caribbean, 5, American (Traditional), 4, Chinese, 4
 11423, 19, 197, 10.4, 3.8, 3.1, Chinese, 3, American (New), 3, Pizza, 3
 11426, 26, 432, 16.6, 3.4, 3.6, Indian, 7, Pizza, 6, Halal, 3
 11427, 12, 256, 21.3, 3.5, 2.8, Diners, 2, Burgers, 2, Indian, 2
 11428, 24, 191, 8.0, 3.3, 3.3, Restaurants, 4, Chinese, 3, Indian, 2
 11429, 14, 78, 5.6, 3.3, 3.3, Caribbean, 4, Chinese, 4, Delis, 3
 11430, 43, 1029, 23.9, 2.7, 2.7, Fast Food, 6, Burgers, 5, American (New), 5
 11432, 102, 1424, 14.0, 3.6, 3.5, Chinese, 14, Indian, 13, Pizza, 12
 11433, 15, 85, 5.7, 3.6, 3.4, Chicken Wings, 4, Sandwiches, 3, Caribbean, 2
 11434, 40, 352, 8.8, 3.6, 3.5, Restaurants, 6, Chinese, 6, Caribbean, 4
 11435, 43, 767, 17.8, 3.5, 3.8, Latin American, 5, Chinese, 5, Pizza, 5
 11436, 9, 95, 10.6, 3.3, 3.1, American (New), 2, Caribbean, 2, Chinese, 2
 11691, 20, 80, 4.0, 3.4, 3.5, Chinese, 5, Pizza, 4, Restaurants, 3
 11692, 11, 101, 9.2, 3.6, 2.8, Chinese, 2, American (New), 2, Pizza, 2
 11694, 39, 483, 12.4, 3.6, 3.4, Delis, 5, Pizza, 5, Chinese, 4
 11697, 6, 51, 8.5, 3.4, 3.6, Bars, 1, Burgers, 1, American (New), 1
